,Dataset Link,File Title,File Description,File Format,File Link
0,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Consumo de Energía Eléctrica ADINELSA,Lista de consumos de energía eléctrica del periodo octubre del 2023,csv,https://www.datosabiertos.gob.pe/sites/default/files/consumo_adinelsa_202310.csv
1,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Diccionario de datos | Consumo Energía Eléctrica ADINELSA,Diccionario de datos del dataset de consumo de energía eléctrica ADINELSA...,pdf,https://www.datosabiertos.gob.pe/sites/default/files/DiccionarioDatosAdinelsa_3.pdf
2,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Metadata | Consumo Energía Eléctrica ADINELSA,Metadata de dataset de lista de consumos de energía eléctrica ADINELSA,pdf,https://www.datosabiertos.gob.pe/sites/default/files/MetadataAdinelsa_3.pdf
3,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Consumo de Energía Eléctrica ADINELSA,Lista de consumos de energía eléctrica del periodo setiembre del 2023,csv,https://www.datosabiertos.gob.pe/sites/default/files/consumo_adinelsa_202309.csv
4,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Diccionario de datos | Consumo Energía Eléctrica ADINELSA,Diccionario de datos del dataset de consumo de energía eléctrica ADINELSA...,pdf,https://www.datosabiertos.gob.pe/sites/default/files/DiccionarioDatosAdinelsa_2.pdf
5,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Metadata | Consumo Energía Eléctrica ADINELSA,Metadata de dataset de lista de consumos de energía eléctrica ADINELSA,pdf,https://www.datosabiertos.gob.pe/sites/default/files/MetadataAdinelsa_2.pdf
6,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Octubre 2022,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Octubre%202022.csv
7,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Diccionario de Datos del Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC].  ,Diccionario de Datos del Consumo de Energía Eléctrica de los clientes de...,xlsx,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos.v1_0.xlsx
8,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Metadatos del Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC].  ,Metadatos del Consumo de Energía Eléctrica de los clientes de Electro...,docx,https://www.datosabiertos.gob.pe/sites/default/files/Formato_Metadatos_4.docx
9,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Noviembre 2022,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Noviembre%202022.csv
10,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Diciembre 2022,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Diciembre%202022.csv
11,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Enero 2023,,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Enero%202023.csv
