,Dataset Order,Dataset Title,Dataset Link,Dataset Produced By,Dataset Description,Dataset Public Access Level,Dataset Author,Dataset Modified Date,Dataset Frequency,Dataset Language,Dataset Contact Name,Dataset Contact Email,Dataset Publisher,Dataset Release Date,Dataset License,Dataset Identificador,Dataset Homepage URL,Dataset Temporal Coverage
0,N_00,Consumo de Energía Eléctrica de los clientes de ADINELSA | Octubre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],Public,,2023-11-09,,,,,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,2023-11-09,Open Data Commons Attribution ,4487d689-d20c-43f9-9250-3fdbb4b87bcb,,
1,N_01,Consumo de Energía Eléctrica de los clientes de ADINELSA | Setiembre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],Public,,2023-10-09,,,,,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,2023-10-09,Open Data Commons Attribution ,655c11ea-25bb-4a46-ad12-01069f036d17,,
2,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,Public,Soria Marina Cesar Homero,2023-09-15,Monthly,Spanish (Peru),Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,Electro Ucayali,2022-11-09,Open Data Commons Attribution ,3ba5c056-67db-41e5-aa9f-1197e743b1c2,,"Miércoles, Noviembre 9, 2022 - 00:00"
3,N_03,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/gastos-de-uso-de-veh%C3%ADculos-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],Public,Soria Marina Cesar Homero,2023-09-15,Triennial,,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,Electro Ucayali,2023-06-05,Open Data Commons Attribution ,b6006583-6ed8-4f2b-859c-aca1417a09a5,,
4,N_04,ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/ordenes-de-compra-y-servicios-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,Es el registro de órdenes de compra y servicios efectuados por diferentes personas naturales y jurídicas a la empresa Electro Ucayali S.A.,Public,,2023-09-15,,,,,Electro Ucayali,2023-05-31,Open Data Commons Attribution ,af9d03b3-a609-4ba7-98c1-646fbcfd1e9a,,
5,N_05,Registro de Hidrocarburos Líquidos - Setiembre 2023 - Osinergmin,https://www.datosabiertos.gob.pe//dataset/registro-de-hidrocarburos-l%C3%ADquidos-setiembre-2023-osinergmin,Presidencia del Consejo de Ministros,Para desarrollar actividades de comercialización en el subsector de hidrocarburos se requiere la Inscripción en el Registro de Hidrocarburos del Osinergmin.,Public,,2023-09-12,,,,,Presidencia del Consejo de Ministros,2023-09-12,,47391ada-c355-40c6-b290-a88c3a56938f,,
6,N_06,Consumo de Energía Eléctrica de los clientes de ADINELSA | Agosto 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-agosto-2023,,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],Public,,2023-09-11,,,,,,2023-09-11,Open Data Commons Attribution ,6f4818bf-d94b-4856-9390-7a7a8e4bd73b,,
7,N_07,Consumo energético de clientes Hidrandina [Distriluz - DLZ],https://www.datosabiertos.gob.pe//dataset/consumo-energ%C3%A9tico-de-clientes-hidrandina-distriluz-dlz,Empresa Regional de Servicio Público de Electricidad Electronortemedio S.A - DISTRILUZ,"Registro mensual del consumo de energía eléctrica de los usuarios en el ámbito operacional de la empresa Hidrandina, que brinda el servicio a los departamentos de La Libertad, Ancash y Cajamarca.",Public,Hidrandina,2023-08-23,Monthly,Spanish (Peru),Hubert Calderón,hcalderonv@distriluz.com.pe,Empresa Regional de Servicio Público de Electricidad Electronortemedio S.A - DISTRILUZ,2022-12-28,Open Data Commons Attribution ,231d2c66-e540-4b95-9b44-9c8c8a2c2b68,,"Sábado, Noviembre 11, 2023 - 00:00"
8,N_08,Consumo de Energía Eléctrica de los clientes de ADINELSA | Junio 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-junio-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],Public,,2023-08-23,,,,,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,2023-07-11,Open Data Commons Attribution ,6013473e-7fbe-4310-85fc-df9c14bb58c7,,
9,N_09,PADRÓN DE BENEFICIARIOS FISE POR LOCALIDAD DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/padr%C3%B3n-de-beneficiarios-fise-por-localidad-de-la-empresa-electro-ucayali-sa-electro-ucayali,Electro Ucayali,Es el registro de los beneficiarios del Fondo de Inclusión Social Energético (FISE) por localidad de la empresa Electro Ucayali S.A.,Public,,2023-08-17,,,,,Electro Ucayali,2023-06-06,Open Data Commons Attribution ,62316322-6c6b-47e3-ae09-c40fc6fa8c75,,
