,Dataset Order,Dataset Title,Dataset Link,Dataset Produced By,Dataset Description,Dataset Identificador,Dataset Publisher,Dataset Author,Dataset Contact Name,Dataset Contact Email,Dataset Release Date,Dataset Modified Date,Dataset Temporal Coverage,Dataset Frequency,Dataset Public Access Level,Dataset Homepage URL,Dataset Language,Dataset License,File Title,File Description,File Format,File Link
0,N_00,Consumo de Energía Eléctrica de los clientes de ADINELSA | Octubre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],4487d689-d20c-43f9-9250-3fdbb4b87bcb,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,,,,2023-11-09,2023-11-09,,,Public,,,Open Data Commons Attribution ,Consumo de Energía Eléctrica ADINELSA,Lista de consumos de energía eléctrica del periodo octubre del 2023,csv,https://www.datosabiertos.gob.pe/sites/default/files/consumo_adinelsa_202310.csv
1,N_00,Consumo de Energía Eléctrica de los clientes de ADINELSA | Octubre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],4487d689-d20c-43f9-9250-3fdbb4b87bcb,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,,,,2023-11-09,2023-11-09,,,Public,,,Open Data Commons Attribution ,Diccionario de datos | Consumo Energía Eléctrica ADINELSA,Diccionario de datos del dataset de consumo de energía eléctrica ADINELSA...,pdf,https://www.datosabiertos.gob.pe/sites/default/files/DiccionarioDatosAdinelsa_3.pdf
2,N_00,Consumo de Energía Eléctrica de los clientes de ADINELSA | Octubre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-octubre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],4487d689-d20c-43f9-9250-3fdbb4b87bcb,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,,,,2023-11-09,2023-11-09,,,Public,,,Open Data Commons Attribution ,Metadata | Consumo Energía Eléctrica ADINELSA,Metadata de dataset de lista de consumos de energía eléctrica ADINELSA,pdf,https://www.datosabiertos.gob.pe/sites/default/files/MetadataAdinelsa_3.pdf
3,N_01,Consumo de Energía Eléctrica de los clientes de ADINELSA | Setiembre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],655c11ea-25bb-4a46-ad12-01069f036d17,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,,,,2023-10-09,2023-10-09,,,Public,,,Open Data Commons Attribution ,Consumo de Energía Eléctrica ADINELSA,Lista de consumos de energía eléctrica del periodo setiembre del 2023,csv,https://www.datosabiertos.gob.pe/sites/default/files/consumo_adinelsa_202309.csv
4,N_01,Consumo de Energía Eléctrica de los clientes de ADINELSA | Setiembre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],655c11ea-25bb-4a46-ad12-01069f036d17,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,,,,2023-10-09,2023-10-09,,,Public,,,Open Data Commons Attribution ,Diccionario de datos | Consumo Energía Eléctrica ADINELSA,Diccionario de datos del dataset de consumo de energía eléctrica ADINELSA...,pdf,https://www.datosabiertos.gob.pe/sites/default/files/DiccionarioDatosAdinelsa_2.pdf
5,N_01,Consumo de Energía Eléctrica de los clientes de ADINELSA | Setiembre 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-setiembre-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],655c11ea-25bb-4a46-ad12-01069f036d17,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,,,,2023-10-09,2023-10-09,,,Public,,,Open Data Commons Attribution ,Metadata | Consumo Energía Eléctrica ADINELSA,Metadata de dataset de lista de consumos de energía eléctrica ADINELSA,pdf,https://www.datosabiertos.gob.pe/sites/default/files/MetadataAdinelsa_2.pdf
6,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Octubre 2022,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Octubre%202022.csv
7,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Diccionario de Datos del Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC].  ,Diccionario de Datos del Consumo de Energía Eléctrica de los clientes de...,xlsx,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos.v1_0.xlsx
8,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Metadatos del Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC].  ,Metadatos del Consumo de Energía Eléctrica de los clientes de Electro...,docx,https://www.datosabiertos.gob.pe/sites/default/files/Formato_Metadatos_4.docx
9,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Noviembre 2022,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Noviembre%202022.csv
